reference_month,release_date,specification,prior_adjustment,outliers,unrounded_nsa_inputs,files_complete,specification_evidence,prior_adjustment_evidence,outliers_evidence
2018-10,2018-11-02,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20190111220437id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2018-11,2018-12-07,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20190111220437id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2018-12,2019-01-04,internet_archive,internet_archive,internet_archive,not_published,true,https://web.archive.org/web/20190111220437id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,https://web.archive.org/web/20190111160920id_/https://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20190111160920id_/https://www.bls.gov/web/empsit/ces.spec.other.zip
2019-01,2019-02-01,not_archived,not_archived,not_archived,not_published,false,,,
2019-02,2019-03-08,not_archived,not_archived,not_archived,not_published,false,,,
2019-03,2019-04-05,not_archived,not_archived,not_archived,not_published,false,,,
2019-04,2019-05-03,not_archived,not_archived,not_archived,not_published,false,,,
2019-05,2019-06-07,not_archived,not_archived,not_archived,not_published,false,,,
2019-06,2019-07-05,not_archived,not_archived,not_archived,not_published,false,,,
2019-07,2019-08-02,not_archived,not_archived,not_archived,not_published,false,,,
2019-08,2019-09-06,not_archived,not_archived,not_archived,not_published,false,,,
2019-09,2019-10-04,not_archived,not_archived,not_archived,not_published,false,,,
2019-10,2019-11-01,not_archived,not_archived,not_archived,not_published,false,,,
2019-11,2019-12-06,not_archived,not_archived,not_archived,not_published,false,,,
2019-12,2020-01-10,not_archived,not_archived,not_archived,not_published,false,,,
2020-01,2020-02-07,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20201018125113id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2020-02,2020-03-06,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20201018125113id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2020-03,2020-04-03,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20201018125113id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2020-04,2020-05-08,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20201018125113id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2020-05,2020-06-05,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20201018125113id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
