reference_month,release_date,specification,prior_adjustment,outliers,unrounded_nsa_inputs,files_complete,specification_evidence,prior_adjustment_evidence,outliers_evidence
2003-05,2003-06-06,not_archived,not_archived,not_archived,not_published,false,,,
2003-06,2003-07-03,not_archived,not_archived,not_archived,not_published,false,,,
2003-07,2003-08-01,not_archived,not_archived,not_archived,not_published,false,,,
2003-08,2003-09-05,not_archived,not_archived,not_archived,not_published,false,,,
2003-09,2003-10-03,not_archived,not_archived,not_archived,not_published,false,,,
2003-10,2003-11-07,not_archived,not_archived,not_archived,not_published,false,,,
2003-11,2003-12-05,not_archived,not_archived,not_archived,not_published,false,,,
2003-12,2004-01-09,not_archived,not_archived,not_archived,not_published,false,,,
2004-01,2004-02-06,not_archived,not_archived,not_archived,not_published,false,,,
2004-02,2004-03-05,not_archived,not_archived,not_archived,not_published,false,,,
2004-03,2004-04-02,not_archived,not_archived,not_archived,not_published,false,,,
2004-04,2004-05-07,not_archived,not_archived,not_archived,not_published,false,,,
2004-05,2004-06-04,not_archived,not_archived,not_archived,not_published,false,,,
2004-06,2004-07-02,not_archived,not_archived,not_archived,not_published,false,,,
2004-07,2004-08-06,not_archived,not_archived,not_archived,not_published,false,,,
2004-08,2004-09-03,not_archived,not_archived,not_archived,not_published,false,,,
2004-09,2004-10-08,not_archived,not_archived,not_archived,not_published,false,,,
2004-10,2004-11-05,not_archived,not_archived,not_archived,not_published,false,,,
2004-11,2004-12-03,not_archived,not_archived,not_archived,not_published,false,,,
2004-12,2005-01-07,not_archived,not_archived,not_archived,not_published,false,,,
2005-01,2005-02-04,not_archived,not_archived,not_archived,not_published,false,,,
2005-02,2005-03-04,not_archived,not_archived,not_archived,not_published,false,,,
2005-03,2005-04-01,not_archived,not_archived,not_archived,not_published,false,,,
2005-04,2005-05-06,not_archived,not_archived,not_archived,not_published,false,,,
2005-05,2005-06-03,not_archived,not_archived,not_archived,not_published,false,,,
2005-06,2005-07-08,not_archived,not_archived,not_archived,not_published,false,,,
2005-07,2005-08-05,not_archived,not_archived,not_archived,not_published,false,,,
2005-08,2005-09-02,not_archived,not_archived,not_archived,not_published,false,,,
2005-09,2005-10-07,not_archived,not_archived,not_archived,not_published,false,,,
2005-10,2005-11-04,not_archived,not_archived,not_archived,not_published,false,,,
2005-11,2005-12-02,not_archived,not_archived,not_archived,not_published,false,,,
2005-12,2006-01-06,not_archived,not_archived,not_archived,not_published,false,,,
2006-01,2006-02-03,not_archived,not_archived,not_archived,not_published,false,,,
2006-02,2006-03-10,not_archived,not_archived,not_archived,not_published,false,,,
2006-03,2006-04-07,not_archived,not_archived,not_archived,not_published,false,,,
2006-04,2006-05-05,not_archived,not_archived,not_archived,not_published,false,,,
2006-05,2006-06-02,not_archived,not_archived,not_archived,not_published,false,,,
2006-06,2006-07-07,not_archived,not_archived,not_archived,not_published,false,,,
2006-07,2006-08-04,not_archived,not_archived,not_archived,not_published,false,,,
2006-08,2006-09-01,not_archived,not_archived,not_archived,not_published,false,,,
2006-09,2006-10-06,not_archived,not_archived,not_archived,not_published,false,,,
2006-10,2006-11-03,not_archived,not_archived,not_archived,not_published,false,,,
2006-11,2006-12-08,not_archived,not_archived,not_archived,not_published,false,,,
2006-12,2007-01-05,not_archived,not_archived,not_archived,not_published,false,,,
2007-01,2007-02-02,not_archived,not_archived,not_archived,not_published,false,,,
2007-02,2007-03-09,not_archived,not_archived,not_archived,not_published,false,,,
2007-03,2007-04-06,not_archived,not_archived,not_archived,not_published,false,,,
2007-04,2007-05-04,not_archived,not_archived,not_archived,not_published,false,,,
2007-05,2007-06-01,not_archived,not_archived,not_archived,not_published,false,,,
2007-06,2007-07-06,not_archived,not_archived,not_archived,not_published,false,,,
2007-07,2007-08-03,not_archived,not_archived,not_archived,not_published,false,,,
2007-08,2007-09-07,not_archived,not_archived,not_archived,not_published,false,,,
2007-09,2007-10-05,not_archived,not_archived,not_archived,not_published,false,,,
2007-10,2007-11-02,not_archived,not_archived,not_archived,not_published,false,,,
2007-11,2007-12-07,not_archived,not_archived,not_archived,not_published,false,,,
2007-12,2008-01-04,not_archived,not_archived,not_archived,not_published,false,,,
2008-01,2008-02-01,not_archived,not_archived,not_archived,not_published,false,,,
2008-02,2008-03-07,not_archived,not_archived,not_archived,not_published,false,,,
2008-03,2008-04-04,not_archived,not_archived,not_archived,not_published,false,,,
2008-04,2008-05-02,not_archived,not_archived,not_archived,not_published,false,,,
2008-05,2008-06-06,not_archived,not_archived,not_archived,not_published,false,,,
2008-06,2008-07-03,not_archived,not_archived,not_archived,not_published,false,,,
2008-07,2008-08-01,not_archived,not_archived,not_archived,not_published,false,,,
2008-08,2008-09-05,not_archived,not_archived,not_archived,not_published,false,,,
2008-09,2008-10-03,not_archived,not_archived,not_archived,not_published,false,,,
2008-10,2008-11-07,not_archived,not_archived,not_archived,not_published,false,,,
2008-11,2008-12-05,not_archived,not_archived,not_archived,not_published,false,,,
2008-12,2009-01-09,not_archived,not_archived,not_archived,not_published,false,,,
2009-01,2009-02-06,not_archived,not_archived,not_archived,not_published,false,,,
2009-02,2009-03-06,not_archived,not_archived,not_archived,not_published,false,,,
2009-03,2009-04-03,not_archived,not_archived,not_archived,not_published,false,,,
2009-04,2009-05-08,not_archived,not_archived,not_archived,not_published,false,,,
2009-05,2009-06-05,not_archived,not_archived,not_archived,not_published,false,,,
2009-06,2009-07-02,not_archived,not_archived,not_archived,not_published,false,,,
2009-07,2009-08-07,not_archived,not_archived,not_archived,not_published,false,,,
2009-08,2009-09-04,not_archived,not_archived,not_archived,not_published,false,,,
2009-09,2009-10-02,not_archived,not_archived,not_archived,not_published,false,,,
2009-10,2009-11-06,not_archived,not_archived,not_archived,not_published,false,,,
2009-11,2009-12-04,not_archived,not_archived,not_archived,not_published,false,,,
2009-12,2010-01-08,not_archived,not_archived,not_archived,not_published,false,,,
2010-01,2010-02-05,not_archived,not_archived,not_archived,not_published,false,,,
2010-02,2010-03-05,not_archived,not_archived,not_archived,not_published,false,,,
2010-03,2010-04-02,not_archived,not_archived,not_archived,not_published,false,,,
2010-04,2010-05-07,not_archived,not_archived,not_archived,not_published,false,,,
2010-05,2010-06-04,not_archived,not_archived,not_archived,not_published,false,,,
2010-06,2010-07-02,not_archived,not_archived,not_archived,not_published,false,,,
2010-07,2010-08-06,not_archived,not_archived,not_archived,not_published,false,,,
2010-08,2010-09-03,not_archived,not_archived,not_archived,not_published,false,,,
2010-09,2010-10-08,not_archived,not_archived,not_archived,not_published,false,,,
2010-10,2010-11-05,not_archived,not_archived,not_archived,not_published,false,,,
2010-11,2010-12-03,not_archived,not_archived,not_archived,not_published,false,,,
2010-12,2011-01-07,not_archived,not_archived,not_archived,not_published,false,,,
2011-01,2011-02-04,not_archived,not_archived,not_archived,not_published,false,,,
2011-02,2011-03-04,not_archived,not_archived,not_archived,not_published,false,,,
2011-03,2011-04-01,not_archived,not_archived,not_archived,not_published,false,,,
2011-04,2011-05-06,not_archived,not_archived,not_archived,not_published,false,,,
2011-05,2011-06-03,not_archived,not_archived,not_archived,not_published,false,,,
2011-06,2011-07-08,not_archived,not_archived,not_archived,not_published,false,,,
2011-07,2011-08-05,not_archived,not_archived,not_archived,not_published,false,,,
2011-08,2011-09-02,not_archived,not_archived,not_archived,not_published,false,,,
2011-09,2011-10-07,not_archived,not_archived,not_archived,not_published,false,,,
2011-10,2011-11-04,not_archived,not_archived,not_archived,not_published,false,,,
2011-11,2011-12-02,not_archived,not_archived,not_archived,not_published,false,,,
2011-12,2012-01-06,not_archived,not_archived,not_archived,not_published,false,,,
2012-01,2012-02-03,not_archived,not_archived,not_archived,not_published,false,,,
2012-02,2012-03-09,not_archived,not_archived,not_archived,not_published,false,,,
2012-03,2012-04-06,not_archived,not_archived,not_archived,not_published,false,,,
2012-04,2012-05-04,not_archived,not_archived,not_archived,not_published,false,,,
2012-05,2012-06-01,not_archived,not_archived,not_archived,not_published,false,,,
2012-06,2012-07-06,not_archived,not_archived,not_archived,not_published,false,,,
2012-07,2012-08-03,not_archived,not_archived,not_archived,not_published,false,,,
2012-08,2012-09-07,not_archived,not_archived,not_archived,not_published,false,,,
2012-09,2012-10-05,not_archived,not_archived,not_archived,not_published,false,,,
2012-10,2012-11-02,not_archived,not_archived,not_archived,not_published,false,,,
2012-11,2012-12-07,not_archived,not_archived,not_archived,not_published,false,,,
2012-12,2013-01-04,not_archived,not_archived,not_archived,not_published,false,,,
2013-01,2013-02-01,not_archived,not_archived,not_archived,not_published,false,,,
2013-02,2013-03-08,not_archived,not_archived,not_archived,not_published,false,,,
2013-03,2013-04-05,not_archived,not_archived,not_archived,not_published,false,,,
2013-04,2013-05-03,not_archived,not_archived,not_archived,not_published,false,,,
2013-05,2013-06-07,not_archived,not_archived,not_archived,not_published,false,,,
2013-06,2013-07-05,not_archived,not_archived,not_archived,not_published,false,,,
2013-07,2013-08-02,not_archived,not_archived,not_archived,not_published,false,,,
2013-08,2013-09-06,not_archived,not_archived,not_archived,not_published,false,,,
2013-09,2013-10-22,not_archived,not_archived,not_archived,not_published,false,,,
2013-10,2013-11-08,not_archived,not_archived,not_archived,not_published,false,,,
2013-11,2013-12-06,not_archived,not_archived,not_archived,not_published,false,,,
2013-12,2014-01-10,not_archived,not_archived,not_archived,not_published,false,,,
2014-01,2014-02-07,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20140719155542id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2014-02,2014-03-07,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20140719155542id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2014-03,2014-04-04,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20140719155542id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2014-04,2014-05-02,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20140719155542id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2014-05,2014-06-06,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20140719155542id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2014-06,2014-07-03,internet_archive,internet_archive,internet_archive,not_published,true,https://web.archive.org/web/20140719155542id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,https://web.archive.org/web/20140719134601id_/http://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20140719134601id_/http://www.bls.gov/web/empsit/ces.spec.other.zip
2014-07,2014-08-01,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20140719155542id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2014-08,2014-09-05,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20140719155542id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2014-09,2014-10-03,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20140719155542id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2014-10,2014-11-07,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20140719155542id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2014-11,2014-12-05,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20140719155542id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2014-12,2015-01-09,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20140719155542id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2015-01,2015-02-06,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20150321060819id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2015-02,2015-03-06,internet_archive,internet_archive,internet_archive,not_published,true,https://web.archive.org/web/20150321060819id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,https://web.archive.org/web/20150321061757id_/http://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20150321061757id_/http://www.bls.gov/web/empsit/ces.spec.other.zip
2015-03,2015-04-03,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20150321060819id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2015-04,2015-05-08,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20150321060819id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2015-05,2015-06-05,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20150321060819id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2015-06,2015-07-02,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20150321060819id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2015-07,2015-08-07,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20150321060819id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2015-08,2015-09-04,internet_archive,internet_archive,internet_archive,not_published,true,https://web.archive.org/web/20150321060819id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,https://web.archive.org/web/20150905164751id_/http://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20150905164751id_/http://www.bls.gov/web/empsit/ces.spec.other.zip
2015-09,2015-10-02,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20150321060819id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2015-10,2015-11-06,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20150321060819id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2015-11,2015-12-04,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20150321060819id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2015-12,2016-01-08,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20150321060819id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2016-01,2016-02-05,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20160825180042id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2016-02,2016-03-04,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20160825180042id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2016-03,2016-04-01,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20160825180042id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2016-04,2016-05-06,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20160825180042id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2016-05,2016-06-03,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20160825180042id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2016-06,2016-07-08,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20160825180042id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2016-07,2016-08-05,internet_archive,internet_archive,internet_archive,not_published,true,https://web.archive.org/web/20160825180042id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,https://web.archive.org/web/20160825173250id_/http://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20160825173250id_/http://www.bls.gov/web/empsit/ces.spec.other.zip
2016-08,2016-09-02,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20160825180042id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2016-09,2016-10-07,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20160825180042id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2016-10,2016-11-04,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20160825180042id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2016-11,2016-12-02,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20160825180042id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2016-12,2017-01-06,internet_archive,internet_archive,internet_archive,not_published,true,https://web.archive.org/web/20160825180042id_/http://www.bls.gov/web/empsit/ces.spec.ae.zip,https://web.archive.org/web/20170110014114id_/https://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20170110014114id_/https://www.bls.gov/web/empsit/ces.spec.other.zip
2017-01,2017-02-03,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20170507080910id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2017-02,2017-03-10,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20170507080910id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2017-03,2017-04-07,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20170507080910id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2017-04,2017-05-05,internet_archive,internet_archive,internet_archive,not_published,true,https://web.archive.org/web/20170507080910id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,https://web.archive.org/web/20170507081200id_/https://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20170507081200id_/https://www.bls.gov/web/empsit/ces.spec.other.zip
2017-05,2017-06-02,internet_archive,internet_archive,internet_archive,not_published,true,https://web.archive.org/web/20170507080910id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,https://web.archive.org/web/20170606104922id_/https://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20170606104922id_/https://www.bls.gov/web/empsit/ces.spec.other.zip
2017-06,2017-07-07,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20170507080910id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2017-07,2017-08-04,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20170507080910id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2017-08,2017-09-01,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20170507080910id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2017-09,2017-10-06,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20170507080910id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2017-10,2017-11-03,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20170507080910id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2017-11,2017-12-08,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20170507080910id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2017-12,2018-01-05,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20170507080910id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2018-01,2018-02-02,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20190111220437id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2018-02,2018-03-09,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20190111220437id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2018-03,2018-04-06,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20190111220437id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2018-04,2018-05-04,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20190111220437id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2018-05,2018-06-01,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20190111220437id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2018-06,2018-07-06,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20190111220437id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2018-07,2018-08-03,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20190111220437id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2018-08,2018-09-07,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20190111220437id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2018-09,2018-10-05,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20190111220437id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
