reference_month,release_date,release_url
2005-11,2005-12-02,https://www.bls.gov/news.release/history/empsit_12022005.txt
2005-12,2006-01-06,https://www.bls.gov/news.release/history/empsit_01062006.txt
2006-01,2006-02-03,https://www.bls.gov/news.release/history/empsit_02032006.txt
2006-02,2006-03-10,https://www.bls.gov/news.release/history/empsit_03102006.txt
2006-03,2006-04-07,https://www.bls.gov/news.release/history/empsit_04072006.txt
2006-04,2006-05-05,https://www.bls.gov/news.release/history/empsit_05052006.txt
2006-05,2006-06-02,https://www.bls.gov/news.release/history/empsit_06022006.txt
2006-06,2006-07-07,https://www.bls.gov/news.release/history/empsit_07072006.txt
2006-07,2006-08-04,https://www.bls.gov/news.release/history/empsit_08042006.txt
2006-08,2006-09-01,https://www.bls.gov/news.release/history/empsit_09012006.txt
2006-09,2006-10-06,https://www.bls.gov/news.release/history/empsit_10062006.txt
2006-10,2006-11-03,https://www.bls.gov/news.release/history/empsit_11032006.txt
2006-11,2006-12-08,https://www.bls.gov/news.release/history/empsit_12082006.txt
2006-12,2007-01-05,https://www.bls.gov/news.release/history/empsit_01052007.txt
2007-01,2007-02-02,https://www.bls.gov/news.release/history/empsit_02022007.txt
2007-02,2007-03-09,https://www.bls.gov/news.release/history/empsit_03092007.txt
2007-03,2007-04-06,https://www.bls.gov/news.release/history/empsit_04062007.txt
2007-04,2007-05-04,https://www.bls.gov/news.release/history/empsit_05042007.txt
2007-05,2007-06-01,https://www.bls.gov/news.release/history/empsit_06012007.txt
2007-06,2007-07-06,https://www.bls.gov/news.release/history/empsit_07062007.txt
2007-07,2007-08-03,https://www.bls.gov/news.release/history/empsit_08032007.txt
2007-08,2007-09-07,https://www.bls.gov/news.release/history/empsit_09072007.txt
2007-09,2007-10-05,https://www.bls.gov/news.release/history/empsit_10052007.txt
2007-10,2007-11-02,https://www.bls.gov/news.release/history/empsit_11022007.txt
2007-11,2007-12-07,https://www.bls.gov/news.release/history/empsit_12072007.txt
2007-12,2008-01-04,https://www.bls.gov/news.release/history/empsit_01042008.txt
2008-01,2008-02-01,https://www.bls.gov/news.release/archives/empsit_02012008.htm
2008-02,2008-03-07,https://www.bls.gov/news.release/archives/empsit_03072008.htm
2008-03,2008-04-04,https://www.bls.gov/news.release/archives/empsit_04042008.htm
2008-04,2008-05-02,https://www.bls.gov/news.release/archives/empsit_05022008.htm
2008-05,2008-06-06,https://www.bls.gov/news.release/archives/empsit_06062008.htm
2008-06,2008-07-03,https://www.bls.gov/news.release/archives/empsit_07032008.htm
2008-07,2008-08-01,https://www.bls.gov/news.release/archives/empsit_08012008.htm
2008-08,2008-09-05,https://www.bls.gov/news.release/archives/empsit_09052008.htm
2008-09,2008-10-03,https://www.bls.gov/news.release/archives/empsit_10032008.htm
2008-10,2008-11-07,https://www.bls.gov/news.release/archives/empsit_11072008.htm
2008-11,2008-12-05,https://www.bls.gov/news.release/archives/empsit_12052008.htm
2008-12,2009-01-09,https://www.bls.gov/news.release/archives/empsit_01092009.htm
2009-01,2009-02-06,https://www.bls.gov/news.release/archives/empsit_02062009.htm
2009-02,2009-03-06,https://www.bls.gov/news.release/archives/empsit_03062009.htm
2009-03,2009-04-03,https://www.bls.gov/news.release/archives/empsit_04032009.htm
2009-04,2009-05-08,https://www.bls.gov/news.release/archives/empsit_05082009.htm
2009-05,2009-06-05,https://www.bls.gov/news.release/archives/empsit_06052009.htm
2009-06,2009-07-02,https://www.bls.gov/news.release/archives/empsit_07022009.htm
2009-07,2009-08-07,https://www.bls.gov/news.release/archives/empsit_08072009.htm
2009-08,2009-09-04,https://www.bls.gov/news.release/archives/empsit_09042009.htm
2009-09,2009-10-02,https://www.bls.gov/news.release/archives/empsit_10022009.htm
