benchmark_year,period_label,reference_month,frequency,realized_text,forecast_text,difference_text,source_file,source_locator
2020,Mar-20,2020-03-01,monthly,-278,26,-304,bls/benchmark/ces-benchmark-revision-2020.pdf,"Table 8, PDF page 14"
2020,Total,,annual,824,"1,066",-242,bls/benchmark/ces-benchmark-revision-2020.pdf,"Table 8, PDF page 14"
2021,Apr-20,2020-04-01,monthly,"-2,162",-470,"-1,692",bls/benchmark/ces-benchmark-revision-2021.pdf,"Table 8, PDF page 18"
2021,May-20,2020-05-01,monthly,782,319,463,bls/benchmark/ces-benchmark-revision-2021.pdf,"Table 8, PDF page 18"
2021,Jun-20,2020-06-01,monthly,543,235,308,bls/benchmark/ces-benchmark-revision-2021.pdf,"Table 8, PDF page 18"
2021,Jul-20,2020-07-01,monthly,523,254,269,bls/benchmark/ces-benchmark-revision-2021.pdf,"Table 8, PDF page 18"
2021,Aug-20,2020-08-01,monthly,253,142,111,bls/benchmark/ces-benchmark-revision-2021.pdf,"Table 8, PDF page 18"
2021,Sep-20,2020-09-01,monthly,-27,-64,37,bls/benchmark/ces-benchmark-revision-2021.pdf,"Table 8, PDF page 18"
2021,Oct-20,2020-10-01,monthly,585,363,222,bls/benchmark/ces-benchmark-revision-2021.pdf,"Table 8, PDF page 18"
2021,Nov-20,2020-11-01,monthly,10,-1,11,bls/benchmark/ces-benchmark-revision-2021.pdf,"Table 8, PDF page 18"
2021,Dec-20,2020-12-01,monthly,-107,18,-125,bls/benchmark/ces-benchmark-revision-2021.pdf,"Table 8, PDF page 18"
2021,Jan-21,2021-01-01,monthly,-85,-143,58,bls/benchmark/ces-benchmark-revision-2021.pdf,"Table 8, PDF page 18"
2021,Feb-21,2021-02-01,monthly,230,131,99,bls/benchmark/ces-benchmark-revision-2021.pdf,"Table 8, PDF page 18"
2021,Mar-21,2021-03-01,monthly,65,38,27,bls/benchmark/ces-benchmark-revision-2021.pdf,"Table 8, PDF page 18"
2021,Total,,annual,610,822,-212,bls/benchmark/ces-benchmark-revision-2021.pdf,"Table 8, PDF page 18"
2022,Apr-21,2021-04-01,monthly,499,309,190,bls/benchmark/ces-benchmark-revision-2022.pdf,"Table 8, PDF page 18"
2022,May-21,2021-05-01,monthly,212,239,-27,bls/benchmark/ces-benchmark-revision-2022.pdf,"Table 8, PDF page 18"
2022,Jun-21,2021-06-01,monthly,13,106,-93,bls/benchmark/ces-benchmark-revision-2022.pdf,"Table 8, PDF page 18"
2022,Jul-21,2021-07-01,monthly,465,264,201,bls/benchmark/ces-benchmark-revision-2022.pdf,"Table 8, PDF page 18"
2022,Aug-21,2021-08-01,monthly,102,146,-44,bls/benchmark/ces-benchmark-revision-2022.pdf,"Table 8, PDF page 18"
2022,Sep-21,2021-09-01,monthly,-217,-87,-130,bls/benchmark/ces-benchmark-revision-2022.pdf,"Table 8, PDF page 18"
2022,Oct-21,2021-10-01,monthly,653,379,274,bls/benchmark/ces-benchmark-revision-2022.pdf,"Table 8, PDF page 18"
2022,Nov-21,2021-11-01,monthly,30,17,13,bls/benchmark/ces-benchmark-revision-2022.pdf,"Table 8, PDF page 18"
2022,Dec-21,2021-12-01,monthly,-20,-42,22,bls/benchmark/ces-benchmark-revision-2022.pdf,"Table 8, PDF page 18"
2022,Jan-22,2022-01-01,monthly,-160,-114,-46,bls/benchmark/ces-benchmark-revision-2022.pdf,"Table 8, PDF page 18"
2022,Feb-22,2022-02-01,monthly,169,156,13,bls/benchmark/ces-benchmark-revision-2022.pdf,"Table 8, PDF page 18"
2022,Mar-22,2022-03-01,monthly,-61,23,-84,bls/benchmark/ces-benchmark-revision-2022.pdf,"Table 8, PDF page 18"
2022,Total,,annual,"1,685","1,396",289,bls/benchmark/ces-benchmark-revision-2022.pdf,"Table 8, PDF page 18"
2023,Apr-22,2022-04-01,monthly,455,323,132,bls/benchmark/ces-benchmark-revision-2023.pdf,"Table 8, PDF page 15"
2023,May-22,2022-05-01,monthly,202,254,-52,bls/benchmark/ces-benchmark-revision-2023.pdf,"Table 8, PDF page 15"
2023,Jun-22,2022-06-01,monthly,50,93,-43,bls/benchmark/ces-benchmark-revision-2023.pdf,"Table 8, PDF page 15"
2023,Jul-22,2022-07-01,monthly,236,327,-91,bls/benchmark/ces-benchmark-revision-2023.pdf,"Table 8, PDF page 15"
2023,Aug-22,2022-08-01,monthly,89,120,-31,bls/benchmark/ces-benchmark-revision-2023.pdf,"Table 8, PDF page 15"
2023,Sep-22,2022-09-01,monthly,-74,-153,79,bls/benchmark/ces-benchmark-revision-2023.pdf,"Table 8, PDF page 15"
2023,Oct-22,2022-10-01,monthly,311,511,-200,bls/benchmark/ces-benchmark-revision-2023.pdf,"Table 8, PDF page 15"
2023,Nov-22,2022-11-01,monthly,1,21,-20,bls/benchmark/ces-benchmark-revision-2023.pdf,"Table 8, PDF page 15"
2023,Dec-22,2022-12-01,monthly,-32,-37,5,bls/benchmark/ces-benchmark-revision-2023.pdf,"Table 8, PDF page 15"
2023,Jan-23,2023-01-01,monthly,-192,-144,-48,bls/benchmark/ces-benchmark-revision-2023.pdf,"Table 8, PDF page 15"
2023,Feb-23,2023-02-01,monthly,117,176,-59,bls/benchmark/ces-benchmark-revision-2023.pdf,"Table 8, PDF page 15"
2023,Mar-23,2023-03-01,monthly,-31,-29,-2,bls/benchmark/ces-benchmark-revision-2023.pdf,"Table 8, PDF page 15"
2023,Total,,annual,"1,132","1,462",-330,bls/benchmark/ces-benchmark-revision-2023.pdf,"Table 8, PDF page 15"
2024,Apr-23,2023-04-01,monthly,389,368,21,bls/benchmark/ces-benchmark-revision-2024.pdf,"Table 8, PDF page 15"
2024,May-23,2023-05-01,monthly,208,244,-36,bls/benchmark/ces-benchmark-revision-2024.pdf,"Table 8, PDF page 15"
2024,Jun-23,2023-06-01,monthly,41,81,-40,bls/benchmark/ces-benchmark-revision-2024.pdf,"Table 8, PDF page 15"
2024,Jul-23,2023-07-01,monthly,217,295,-78,bls/benchmark/ces-benchmark-revision-2024.pdf,"Table 8, PDF page 15"
2024,Aug-23,2023-08-01,monthly,74,110,-36,bls/benchmark/ces-benchmark-revision-2024.pdf,"Table 8, PDF page 15"
2024,Sep-23,2023-09-01,monthly,-105,-117,12,bls/benchmark/ces-benchmark-revision-2024.pdf,"Table 8, PDF page 15"
2024,Oct-23,2023-10-01,monthly,335,425,-90,bls/benchmark/ces-benchmark-revision-2024.pdf,"Table 8, PDF page 15"
2024,Nov-23,2023-11-01,monthly,-9,7,-16,bls/benchmark/ces-benchmark-revision-2024.pdf,"Table 8, PDF page 15"
