Year,Quarter,Area,Field,Initial Value,First Revised Value,Second Revised Value,Third Revised Value,Fourth Revised Value,Final Value
2017,1,United States,Quarterly Establishments,9864197,9818898,9739395,9727591,9718391,9718391
2017,1,United States,January Employment,140803178,140784533,140757063,140760789,140743089,140743089
2017,1,United States,February Employment,141534347,141527436,141505486,141511022,141509780,141509780
2017,1,United States,March Employment,142309185,142328256,142302986,142310827,142293796,142293796
2017,1,United States,Total Quarterly Wages,2044748205052,2044758442298,2044336634122,2044365522525,2044527749562,2044527749562
2017,1,Alabama,Quarterly Establishments,123737,122890,122888,122888,122888,122888
2017,1,Alabama,January Employment,1904237,1902768,1902835,1902835,1902835,1902835
2017,1,Alabama,February Employment,1918111,1916485,1916520,1916520,1916520,1916520
2017,1,Alabama,March Employment,1928878,1928042,1928087,1928087,1928087,1928087
2017,1,Alabama,Total Quarterly Wages,22266480124,22243596324,22243408796,22243408796,22243408796,22243408796
2017,1,Alaska,Quarterly Establishments,22125,21897,21740,21661,21572,21572
2017,1,Alaska,January Employment,305399,305342,305079,305095,305122,305122
2017,1,Alaska,February Employment,311782,311600,311646,311582,311622,311622
2017,1,Alaska,March Employment,312766,312531,312797,312702,312750,312750
2017,1,Alaska,Total Quarterly Wages,4276512076,4226164853,4227147551,4227141905,4227762043,4227762043
2017,1,Arizona,Quarterly Establishments,156776,156398,154860,154342,154331,154331
2017,1,Arizona,January Employment,2712051,2713216,2712921,2713319,2713186,2713186
2017,1,Arizona,February Employment,2734280,2735680,2735221,2735656,2735573,2735573
2017,1,Arizona,March Employment,2743006,2745358,2744625,2745068,2745398,2745398
2017,1,Arizona,Total Quarterly Wages,35164813446,35165097611,35163147735,35163640408,35163052416,35163052416
2017,1,Arkansas,Quarterly Establishments,89613,88741,88742,88744,88744,88744
2017,1,Arkansas,January Employment,1182266,1181356,1181356,1181648,1181648,1181648
2017,1,Arkansas,February Employment,1192973,1192337,1192337,1192615,1192615,1192615
2017,1,Arkansas,March Employment,1199935,1199716,1199716,1200033,1200033,1200033
2017,1,Arkansas,Total Quarterly Wages,13301632131,13285776589,13285776589,13288115308,13288115308,13288115308
2017,1,California,Quarterly Establishments,1512484,1503073,1495461,1493271,1491883,1491883
2017,1,California,January Employment,16631435,16614615,16602063,16599785,16581533,16581533
2017,1,California,February Employment,16744624,16730498,16723214,16721075,16717004,16717004
2017,1,California,March Employment,16831355,16822534,16813082,16811553,16794032,16794032
2017,1,California,Total Quarterly Wages,281740923444,281458058264,281254655428,281200629464,281071318474,281071318474
2017,1,Colorado,Quarterly Establishments,196142,196218,196204,196204,196206,196206
2017,1,Colorado,January Employment,2544179,2544791,2545051,2545005,2545088,2545088
2017,1,Colorado,February Employment,2557354,2558090,2558396,2558356,2558428,2558428
2017,1,Colorado,March Employment,2573186,2574109,2574476,2574439,2574515,2574515
2017,1,Colorado,Total Quarterly Wages,37789973361,37804783953,37808394413,37808285029,37808433582,37808433582
2017,1,Connecticut,Quarterly Establishments,117957,117375,117416,117417,117417,117417
2017,1,Connecticut,January Employment,1647300,1646882,1646602,1646580,1646580,1646580
2017,1,Connecticut,February Employment,1643200,1643181,1642832,1642801,1642801,1642801
2017,1,Connecticut,March Employment,1651523,1651123,1650721,1650679,1650728,1650728
2017,1,Connecticut,Total Quarterly Wages,30335064144,30278649681,30274278982,30273653454,30249269755,30249269755
2017,1,Delaware,Quarterly Establishments,31552,32076,32063,31847,31816,31816
2017,1,Delaware,January Employment,431700,432779,432082,432025,432159,432159
2017,1,Delaware,February Employment,431768,432861,432139,432079,432215,432215
2017,1,Delaware,March Employment,433214,434577,433866,433611,433751,433751
2017,1,Delaware,Total Quarterly Wages,6657252577,6675670354,6667070989,6664007536,6669913505,6669913505
2017,1,District of Columbia,Quarterly Establishments,39522,39371,39354,39214,39154,39154
2017,1,District of Columbia,January Employment,750608,751764,751358,751019,750581,750581
2017,1,District of Columbia,February Employment,755095,756412,756027,755698,755270,755270
2017,1,District of Columbia,March Employment,760660,761878,761614,761267,760811,760811
2017,1,District of Columbia,Total Quarterly Wages,18513410443,18545028656,18507484865,18492877750,18488412357,18488412357
2017,1,Florida,Quarterly Establishments,679418,672655,666887,666885,666880,666880
2017,1,Florida,January Employment,8434799,8435985,8434659,8434303,8433797,8433797
2017,1,Florida,February Employment,8491074,8492375,8490935,8490574,8489963,8489963
2017,1,Florida,March Employment,8532623,8533221,8531042,8530684,8530400,8530400
2017,1,Florida,Total Quarterly Wages,104738540124,104713305782,104682118576,104679275207,104677423713,104677423713
2017,1,Georgia,Quarterly Establishments,276149,270744,270758,270762,270774,270774
2017,1,Georgia,January Employment,4267714,4260983,4260563,4259330,4259978,4259978
2017,1,Georgia,February Employment,4292451,4286040,4285457,4284178,4284832,4284832
2017,1,Georgia,March Employment,4317114,4311394,4310791,4309516,4310145,4310145
2017,1,Georgia,Total Quarterly Wages,59623662791,59548576124,59540363240,59527334501,59587203614,59587203614
2017,1,Hawaii,Quarterly Establishments,41486,41217,40815,40553,40350,40350
2017,1,Hawaii,January Employment,645777,647435,647823,648128,648283,648283
2017,1,Hawaii,February Employment,650389,652164,652570,652883,653060,653060
2017,1,Hawaii,March Employment,653564,655405,655776,656098,656262,656262
2017,1,Hawaii,Total Quarterly Wages,8058950023,8071764291,8073494344,8075422820,8076809904,8076809904
2017,1,Idaho,Quarterly Establishments,60213,60494,60425,60461,60028,60028
2017,1,Idaho,January Employment,675171,675031,674431,674395,673661,673661
2017,1,Idaho,February Employment,680983,681198,680582,680579,679828,679828
2017,1,Idaho,March Employment,690443,690072,689437,689430,688669,688669
2017,1,Idaho,Total Quarterly Wages,6877243408,6875665544,6871789627,6871464949,6864461201,6864461201
2017,1,Illinois,Quarterly Establishments,408204,406351,359397,356333,356365,356365
2017,1,Illinois,January Employment,5778438,5779899,5781297,5786458,5787451,5787451
2017,1,Illinois,February Employment,5796810,5798409,5799930,5805749,5803542,5803542
2017,1,Illinois,March Employment,5842018,5844298,5845788,5851931,5850143,5850143
2017,1,Illinois,Total Quarterly Wages,90225657347,90212822782,90207843236,90274163234,90255199257,90255199257
2017,1,Indiana,Quarterly Establishments,164061,164689,164634,164589,164585,164585
2017,1,Indiana,January Employment,2954031,2950346,2949997,2950011,2949977,2949977
2017,1,Indiana,February Employment,2965090,2962391,2962041,2962044,2961974,2961974
2017,1,Indiana,March Employment,2985799,2984087,2983881,2983907,2983819,2983819
2017,1,Indiana,Total Quarterly Wages,35426731794,35395459580,35391566949,35391245712,35391073135,35391073135
2017,1,Iowa,Quarterly Establishments,101437,100771,100770,100773,100772,100772
2017,1,Iowa,January Employment,1504723,1504095,1504058,1504058,1504058,1504058
2017,1,Iowa,February Employment,1510045,1509642,1509581,1509581,1509581,1509581
2017,1,Iowa,March Employment,1518294,1518250,1518186,1518186,1518186,1518186
2017,1,Iowa,Total Quarterly Wages,17663480819,17662749125,17662562834,17662562834,17662562834,17662562834
2017,1,Kansas,Quarterly Establishments,90918,89685,89570,89371,89181,89181
2017,1,Kansas,January Employment,1351615,1350718,1351350,1351438,1351432,1351432
2017,1,Kansas,February Employment,1361417,1360451,1361096,1361182,1361180,1361180
2017,1,Kansas,March Employment,1367956,1366941,1367579,1367663,1367661,1367661
2017,1,Kansas,Total Quarterly Wages,15700758564,15683976716,15694838553,15697058500,15697047850,15697047850
2017,1,Kentucky,Quarterly Establishments,124069,120210,120259,120357,120315,120315
2017,1,Kentucky,January Employment,1847498,1846769,1846289,1845981,1845174,1845174
2017,1,Kentucky,February Employment,1852953,1853066,1852587,1852298,1851498,1851498
2017,1,Kentucky,March Employment,1864126,1865026,1864551,1864264,1863481,1863481
2017,1,Kentucky,Total Quarterly Wages,21199921077,21200670063,21195645006,21191102009,21180133973,21180133973
2017,1,Louisiana,Quarterly Establishments,130406,130354,129663,129273,128883,128883
2017,1,Louisiana,January Employment,1881934,1885343,1885172,1885018,1885108,1885108
2017,1,Louisiana,February Employment,1897547,1901326,1901112,1900945,1900953,1900953
2017,1,Louisiana,March Employment,1901295,1905267,1905135,1904970,1904973,1904973
2017,1,Louisiana,Total Quarterly Wages,22294958397,22320765312,22325458181,22320111483,22321931225,22321931225
2017,1,Maine,Quarterly Establishments,54401,53877,53635,53365,53291,53291
2017,1,Maine,January Employment,586346,586484,586525,586619,586637,586637
2017,1,Maine,February Employment,583008,583128,583187,583320,583375,583375
2017,1,Maine,March Employment,586714,586726,586878,587054,587070,587070
2017,1,Maine,Total Quarterly Wages,6542267328,6542998939,6542998475,6543848409,6544931493,6544931493
2017,1,Maryland,Quarterly Establishments,171022,172281,172175,172184,172172,172172
2017,1,Maryland,January Employment,2597866,2597887,2598434,2598534,2598371,2598371
2017,1,Maryland,February Employment,2609484,2609456,2609940,2610136,2610029,2610029
2017,1,Maryland,March Employment,2626012,2626027,2626254,2626490,2623824,2623824
2017,1,Maryland,Total Quarterly Wages,39748713269,39747767043,39751021273,39751807356,39751189967,39751189967
2017,1,Massachusetts,Quarterly Establishments,251306,251079,250443,250193,250210,250210
2017,1,Massachusetts,January Employment,3449000,3448960,3451030,3452022,3453034,3453034
2017,1,Massachusetts,February Employment,3443705,3444329,3446696,3447753,3448845,3448845
2017,1,Massachusetts,March Employment,3464000,3465509,3468301,3469824,3471060,3471060
2017,1,Massachusetts,Total Quarterly Wages,64094422788,64170549537,64261386810,64277121360,64287582146,64287582146
2017,1,Michigan,Quarterly Establishments,241853,241822,241775,241829,241831,241831
2017,1,Michigan,January Employment,4197950,4197181,4195878,4196470,4195210,4195210
2017,1,Michigan,February Employment,4208000,4207439,4206038,4206666,4205395,4205395
2017,1,Michigan,March Employment,4230596,4230365,4229211,4229813,4228568,4228568
2017,1,Michigan,Total Quarterly Wages,57021011896,57089489937,57075387008,57063949290,57057247704,57057247704
2017,1,Minnesota,Quarterly Establishments,164726,165213,164415,164500,163607,163607
2017,1,Minnesota,January Employment,2794897,2793861,2793060,2792716,2792695,2792695
2017,1,Minnesota,February Employment,2797509,2795878,2795183,2795009,2795020,2795020
2017,1,Minnesota,March Employment,2806415,2805551,2805008,2804975,2805100,2805100
2017,1,Minnesota,Total Quarterly Wages,41807012606,41851141245,41849986757,41845875274,41852385325,41852385325
2017,1,Mississippi,Quarterly Establishments,73181,73210,72537,72374,72374,72374
2017,1,Mississippi,January Employment,1112344,1114185,1113770,1113789,1113807,1113807
2017,1,Mississippi,February Employment,1118961,1121044,1120622,1120634,1120659,1120659
2017,1,Mississippi,March Employment,1122933,1124927,1124466,1124479,1124515,1124515
2017,1,Mississippi,Total Quarterly Wages,10895179441,10904784809,10901396709,10901425558,10901716454,10901716454
2017,1,Missouri,Quarterly Establishments,201681,201317,200539,200383,199938,199938
2017,1,Missouri,January Employment,2726141,2723949,2723184,2722855,2722268,2722268
2017,1,Missouri,February Employment,2749663,2747603,2746752,2746450,2745858,2745858
2017,1,Missouri,March Employment,2766959,2764925,2764006,2763629,2763026,2763026
2017,1,Missouri,Total Quarterly Wages,33223073831,33201677038,33194670694,33195630294,33191156227,33191156227
2017,1,Montana,Quarterly Establishments,47589,47422,47414,47413,47414,47414
2017,1,Montana,January Employment,445643,445256,445147,445145,445145,445145
2017,1,Montana,February Employment,447032,446626,446503,446501,446501,446501
2017,1,Montana,March Employment,451515,451078,450938,450936,450936,450936
2017,1,Montana,Total Quarterly Wages,4660263231,4656498595,4655236636,4655200636,4655200636,4655200636
2017,1,Nebraska,Quarterly Establishments,71978,71657,71654,71654,71654,71654
2017,1,Nebraska,January Employment,950401,951115,951134,951134,951134,951134
2017,1,Nebraska,February Employment,954506,955539,955495,955495,955495,955495
2017,1,Nebraska,March Employment,960735,962048,962026,962026,962026,962026
2017,1,Nebraska,Total Quarterly Wages,10774675183,10783547497,10783247081,10783247081,10783247081,10783247081
2017,1,Nevada,Quarterly Establishments,81282,79877,79531,79005,78466,78466
2017,1,Nevada,January Employment,1292396,1293611,1293062,1292394,1292009,1292009
2017,1,Nevada,February Employment,1297029,1298374,1297848,1297028,1296802,1296802
2017,1,Nevada,March Employment,1311624,1312814,1312494,1312024,1311809,1311809
2017,1,Nevada,Total Quarterly Wages,15746738687,15758485433,15755167138,15750648062,15749993608,15749993608
2017,1,New Hampshire,Quarterly Establishments,51401,51116,51116,51116,51116,51116
2017,1,New Hampshire,January Employment,644073,643976,643864,643844,643840,643840
2017,1,New Hampshire,February Employment,641219,641230,641119,641100,641096,641096
2017,1,New Hampshire,March Employment,643191,643353,643242,643223,643219,643219
2017,1,New Hampshire,Total Quarterly Wages,8945657962,8944063420,8943216099,8943049204,8943023592,8943023592
2017,1,New Jersey,Quarterly Establishments,272007,269823,264826,263138,260631,260631
2017,1,New Jersey,January Employment,3920354,3914720,3912700,3912981,3912484,3912484
2017,1,New Jersey,February Employment,3932572,3925387,3923459,3923743,3924149,3924149
2017,1,New Jersey,March Employment,3955148,3949061,3946726,3947044,3947346,3947346
2017,1,New Jersey,Total Quarterly Wages,68187413814,68114364576,68095341670,68098425780,68079783959,68079783959
2017,1,New Mexico,Quarterly Establishments,58243,58420,58026,58026,58025,58025
2017,1,New Mexico,January Employment,797550,799147,798914,799039,799057,799057
2017,1,New Mexico,February Employment,800779,802261,802028,802151,802169,802169
2017,1,New Mexico,March Employment,803300,805472,805240,805364,805384,805384
2017,1,New Mexico,Total Quarterly Wages,8725182887,8740644908,8736496980,8737022296,8737320113,8737320113
2017,1,New York,Quarterly Establishments,646573,639084,633718,630880,629058,629058
2017,1,New York,January Employment,9071152,9065067,9059980,9059106,9059983,9059983
2017,1,New York,February Employment,9122624,9117485,9112785,9112547,9113767,9113767
2017,1,New York,March Employment,9159279,9155158,9150302,9150013,9151560,9151560
2017,1,New York,Total Quarterly Wages,182604858483,182744567436,182646023944,182639411030,182980473877,182980473877
2017,1,North Carolina,Quarterly Establishments,270016,269834,269893,269908,269926,269926
2017,1,North Carolina,January Employment,4230548,4235738,4235543,4235569,4235772,4235772
2017,1,North Carolina,February Employment,4265923,4270416,4270264,4270259,4270446,4270446
2017,1,North Carolina,March Employment,4287009,4292274,4292199,4292334,4292989,4292989
2017,1,North Carolina,Total Quarterly Wages,54915350668,54988844755,54985749748,55021549999,55022469971,55022469971
2017,1,North Dakota,Quarterly Establishments,31792,31796,31796,31796,31796,31796
2017,1,North Dakota,January Employment,403174,403208,403208,403208,403208,403208
2017,1,North Dakota,February Employment,404228,404269,404269,404269,404269,404269
2017,1,North Dakota,March Employment,405659,405765,405765,405765,405765,405765
2017,1,North Dakota,Total Quarterly Wages,5007806246,5008771104,5008771104,5008771104,5008771104,5008771104
2017,1,Ohio,Quarterly Establishments,294829,294549,294535,294512,294502,294502
2017,1,Ohio,January Employment,5238239,5236051,5236074,5235285,5235234,5235234
2017,1,Ohio,February Employment,5252245,5250965,5251267,5250365,5250296,5250296
2017,1,Ohio,March Employment,5278342,5279894,5280091,5279024,5278947,5278947
2017,1,Ohio,Total Quarterly Wages,66711457788,66711422448,66684494667,66693066693,66709397982,66709397982
2017,1,Oklahoma,Quarterly Establishments,109808,109527,109145,109139,109130,109130
2017,1,Oklahoma,January Employment,1544976,1551822,1551880,1551888,1552146,1552146
2017,1,Oklahoma,February Employment,1554332,1561553,1561578,1561586,1561845,1561845
2017,1,Oklahoma,March Employment,1563904,1571566,1571588,1571588,1571887,1571887
2017,1,Oklahoma,Total Quarterly Wages,17841647806,17927833977,17928326909,17928384904,17929374833,17929374833
2017,1,Oregon,Quarterly Establishments,149399,148226,146634,147306,147237,147237
2017,1,Oregon,January Employment,1816525,1816852,1815496,1817658,1817815,1817815
2017,1,Oregon,February Employment,1840896,1841493,1839883,1842221,1842406,1842406
2017,1,Oregon,March Employment,1855038,1856071,1853736,1856494,1856697,1856697
2017,1,Oregon,Total Quarterly Wages,23494066606,23514677695,23502746337,23527926109,23529171610,23529171610
2017,1,Pennsylvania,Quarterly Establishments,358637,354694,354683,354683,354683,354683
2017,1,Pennsylvania,January Employment,5684489,5680765,5680409,5680409,5680409,5680409
2017,1,Pennsylvania,February Employment,5688011,5685421,5685078,5685078,5685078,5685078
2017,1,Pennsylvania,March Employment,5712254,5710403,5710073,5710073,5710072,5710072
2017,1,Pennsylvania,Total Quarterly Wages,79815102795,79788866187,79784457722,79784457722,79784457266,79784457266
2017,1,Rhode Island,Quarterly Establishments,37079,37085,37040,37081,37057,37057
2017,1,Rhode Island,January Employment,463080,462610,462394,462595,462506,462506
2017,1,Rhode Island,February Employment,464068,463983,463738,463939,463850,463850
2017,1,Rhode Island,March Employment,465409,465390,464837,465032,464948,464948
2017,1,Rhode Island,Total Quarterly Wages,6366486601,6343751102,6343349026,6343372807,6343206481,6343206481
2017,1,South Carolina,Quarterly Establishments,125894,126414,126342,126320,126323,126323
2017,1,South Carolina,January Employment,1986191,1988284,1987592,1986826,1989183,1989183
2017,1,South Carolina,February Employment,2002738,2005336,2004880,2004135,2007040,2007040
2017,1,South Carolina,March Employment,2017908,2021230,2020789,2020178,2022941,2022941
2017,1,South Carolina,Total Quarterly Wages,22482950233,22511242438,22497406939,22488497972,22484774899,22484774899
2017,1,South Dakota,Quarterly Establishments,33027,33016,33015,33023,33028,33028
2017,1,South Dakota,January Employment,409270,409360,409361,409367,409364,409364
2017,1,South Dakota,February Employment,410093,410211,410214,410220,410214,410214
2017,1,South Dakota,March Employment,413371,413503,413516,413521,413515,413515
2017,1,South Dakota,Total Quarterly Wages,4377107777,4378018539,4378040436,4378127930,4378090191,4378090191
2017,1,Tennessee,Quarterly Establishments,156758,155372,155328,155272,155262,155262
2017,1,Tennessee,January Employment,2871320,2868757,2868558,2868424,2868442,2868442
2017,1,Tennessee,February Employment,2892426,2889290,2888977,2888833,2888848,2888848
2017,1,Tennessee,March Employment,2906192,2903238,2903227,2903075,2903081,2903081
2017,1,Tennessee,Total Quarterly Wages,35488492900,35473164940,35467223289,35465411707,35467338169,35467338169
2017,1,Texas,Quarterly Establishments,668046,671272,671523,671524,671524,671524
2017,1,Texas,January Employment,11788365,11793472,11792860,11793767,11792357,11792357
2017,1,Texas,February Employment,11870862,11877582,11876941,11877741,11879758,11879758
2017,1,Texas,March Employment,11924528,11934995,11934179,11935179,11935314,11935314
2017,1,Texas,Total Quarterly Wages,173379590533,173487340862,173502335517,173500743007,173472601773,173472601773
2017,1,Utah,Quarterly Establishments,96736,96508,96506,96506,96506,96506
2017,1,Utah,January Employment,1390786,1391331,1391331,1391331,1391331,1391331
2017,1,Utah,February Employment,1399435,1399969,1399969,1399969,1399969,1399969
2017,1,Utah,March Employment,1411256,1411510,1411510,1411510,1411510,1411510
2017,1,Utah,Total Quarterly Wages,16483165372,16481179059,16481179059,16481179059,16481179059,16481179059
2017,1,Vermont,Quarterly Establishments,25324,25331,25343,25343,25343,25343
2017,1,Vermont,January Employment,305895,306109,306116,306093,306093,306093
2017,1,Vermont,February Employment,305179,305534,305631,305605,305605,305605
2017,1,Vermont,March Employment,305554,305966,305908,305882,305882,305882
2017,1,Vermont,Total Quarterly Wages,3530358449,3538106704,3536783944,3536580412,3536580412,3536580412
2017,1,Virginia,Quarterly Establishments,265477,264958,264941,265006,265019,265019
2017,1,Virginia,January Employment,3755678,3754970,3754837,3755002,3755104,3755104
2017,1,Virginia,February Employment,3777541,3776891,3776850,3777202,3777316,3777316
2017,1,Virginia,March Employment,3796290,3795517,3795571,3795943,3796087,3796087
2017,1,Virginia,Total Quarterly Wages,55403630278,55369020067,55366598578,55373329021,55374061926,55374061926
2017,1,Washington,Quarterly Establishments,241056,243316,243485,243868,243937,243937
2017,1,Washington,January Employment,3165833,3166099,3166402,3167023,3167484,3167484
2017,1,Washington,February Employment,3192403,3192115,3191881,3192576,3193072,3193072
2017,1,Washington,March Employment,3225920,3225814,3225658,3226194,3226760,3226760
2017,1,Washington,Total Quarterly Wages,50459564927,50431631712,50420695326,50412935521,50383316724,50383316724
2017,1,West Virginia,Quarterly Establishments,49832,49915,49872,49738,49704,49704
2017,1,West Virginia,January Employment,672174,673467,673485,673386,673446,673446
2017,1,West Virginia,February Employment,673489,675310,675331,675215,675286,675286
2017,1,West Virginia,March Employment,678235,680783,680777,680696,680783,680783
2017,1,West Virginia,Total Quarterly Wages,7341067006,7369850038,7368524346,7368760876,7369933187,7369933187
2017,1,Wisconsin,Quarterly Establishments,170954,169832,169752,169711,169631,169631
2017,1,Wisconsin,January Employment,2779736,2780018,2779740,2779772,2779763,2779763
2017,1,Wisconsin,February Employment,2785926,2786321,2786062,2786088,2786070,2786070
2017,1,Wisconsin,March Employment,2803734,2804717,2804536,2804575,2804549,2804549
2017,1,Wisconsin,Total Quarterly Wages,33831895313,33826777864,33822611977,33825549123,33825522821,33825522821
2017,1,Wyoming,Quarterly Establishments,26021,25846,25852,25850,25852,25852
2017,1,Wyoming,January Employment,259911,260104,260109,260107,260107,260107
2017,1,Wyoming,February Employment,260515,260792,260795,260793,260793,260793
2017,1,Wyoming,March Employment,262406,262777,262784,262782,262782,262782
2017,1,Wyoming,Total Quarterly Wages,2986026258,2988780790,2988716030,2988716030,2988716030,2988716030
2017,1,Puerto Rico,Quarterly Establishments,46199,46501,46413,46190,46167,46167
2017,1,Puerto Rico,January Employment,881004,881488,882238,884960,884839,884839
2017,1,Puerto Rico,February Employment,880849,881398,882523,885508,885351,885351
2017,1,Puerto Rico,March Employment,887650,887550,888292,890265,890134,890134
2017,1,Puerto Rico,Total Quarterly Wages,6036583063,6038787324,6046427191,6063363210,6061443818,6061443818
2017,1,Virgin Islands,Quarterly Establishments,3441,3437,3447,3424,3411,3411
2017,1,Virgin Islands,January Employment,38176,38156,38224,38218,38808,38808
2017,1,Virgin Islands,February Employment,38516,38535,38604,38601,39203,39203
2017,1,Virgin Islands,March Employment,38697,38715,38786,38788,39382,39382
2017,1,Virgin Islands,Total Quarterly Wages,398619124,398772724,398857123,398742514,396383571,396383571
2017,2,United States,Quarterly Establishments,9922383,9837597,9819832,9807791,Not applicable,9807791
2017,2,United States,April Employment,143341607,143349544,143351144,143331669,Not applicable,143331669
2017,2,United States,May Employment,144489559,144481617,144484488,144483133,Not applicable,144483133
2017,2,United States,June Employment,145186369,145225899,145233129,145217072,Not applicable,145217072
2017,2,United States,Total Quarterly Wages,1913845719413,1913623023489,1913592399151,1913903345839,Not applicable,1913903345839
2017,2,Alabama,Quarterly Establishments,124206,124105,124100,124100,Not applicable,124100
2017,2,Alabama,April Employment,1934306,1934270,1934313,1934313,Not applicable,1934313
2017,2,Alabama,May Employment,1940785,1940745,1940581,1940581,Not applicable,1940581
2017,2,Alabama,June Employment,1946409,1947180,1947225,1947225,Not applicable,1947225
2017,2,Alabama,Total Quarterly Wages,21656378517,21653489561,21652063965,21652063965,Not applicable,21652063965
2017,2,Alaska,Quarterly Establishments,22064,21919,21841,21729,Not applicable,21729
2017,2,Alaska,April Employment,317079,316865,316375,316558,Not applicable,316558
2017,2,Alaska,May Employment,330315,330086,330093,330269,Not applicable,330269
2017,2,Alaska,June Employment,338394,338618,338665,338964,Not applicable,338964
2017,2,Alaska,Total Quarterly Wages,4292301146,4294992213,4297191985,4297937559,Not applicable,4297937559
2017,2,Arizona,Quarterly Establishments,158217,157260,156617,156581,Not applicable,156581
2017,2,Arizona,April Employment,2746839,2747907,2748796,2748790,Not applicable,2748790
2017,2,Arizona,May Employment,2739219,2740551,2741420,2740692,Not applicable,2740692
2017,2,Arizona,June Employment,2699634,2700462,2701221,2701170,Not applicable,2701170
2017,2,Arizona,Total Quarterly Wages,33446956110,33459807882,33465172232,33424656414,Not applicable,33424656414
2017,2,Arkansas,Quarterly Establishments,89492,88978,88984,88986,Not applicable,88986
2017,2,Arkansas,April Employment,1205174,1205126,1205423,1205423,Not applicable,1205423
2017,2,Arkansas,May Employment,1209892,1209851,1210151,1210151,Not applicable,1210151
2017,2,Arkansas,June Employment,1205977,1206402,1206720,1206720,Not applicable,1206720
2017,2,Arkansas,Total Quarterly Wages,12711301142,12707575672,12709959158,12709959158,Not applicable,12709959158
2017,2,California,Quarterly Establishments,1522450,1514135,1507497,1505681,Not applicable,1505681
2017,2,California,April Employment,16938742,16953343,16948872,16927301,Not applicable,16927301
2017,2,California,May Employment,17098726,17094638,17090548,17087361,Not applicable,17087361
2017,2,California,June Employment,17150900,17170568,17170963,17151532,Not applicable,17151532
2017,2,California,Total Quarterly Wages,268383400368,268144773071,268044762067,267973412583,Not applicable,267973412583
2017,2,Colorado,Quarterly Establishments,198362,198670,198666,198669,Not applicable,198669
2017,2,Colorado,April Employment,2584393,2585094,2585062,2585407,Not applicable,2585407
2017,2,Colorado,May Employment,2591508,2592325,2592262,2592605,Not applicable,2592605
2017,2,Colorado,June Employment,2638826,2639992,2639930,2640321,Not applicable,2640321
2017,2,Colorado,Total Quarterly Wages,35280307712,35285912677,35284729423,35290973771,Not applicable,35290973771
2017,2,Connecticut,Quarterly Establishments,118628,118457,118458,118458,Not applicable,118458
2017,2,Connecticut,April Employment,1664507,1664048,1663926,1663963,Not applicable,1663963
2017,2,Connecticut,May Employment,1683407,1682794,1682570,1682606,Not applicable,1682606
2017,2,Connecticut,June Employment,1701178,1700030,1699744,1699782,Not applicable,1699782
2017,2,Connecticut,Total Quarterly Wages,26614862526,26606060398,26603586016,26604376782,Not applicable,26604376782
2017,2,Delaware,Quarterly Establishments,31746,32323,31944,31905,Not applicable,31905
2017,2,Delaware,April Employment,438381,438582,438609,438748,Not applicable,438748
2017,2,Delaware,May Employment,441057,441342,441662,441806,Not applicable,441806
2017,2,Delaware,June Employment,446649,447698,448095,448236,Not applicable,448236
2017,2,Delaware,Total Quarterly Wages,5817467752,5817244849,5810621073,5812452285,Not applicable,5812452285
2017,2,District of Columbia,Quarterly Establishments,39048,39196,39023,38954,Not applicable,38954
2017,2,District of Columbia,April Employment,763068,763968,763892,763454,Not applicable,763454
2017,2,District of Columbia,May Employment,764970,766033,765964,765515,Not applicable,765515
2017,2,District of Columbia,June Employment,766544,767879,767880,767431,Not applicable,767431
2017,2,District of Columbia,Total Quarterly Wages,16651257465,16629324702,16623074471,16616358425,Not applicable,16616358425
2017,2,Florida,Quarterly Establishments,684893,674959,674937,674933,Not applicable,674933
2017,2,Florida,April Employment,8537406,8538001,8536946,8536412,Not applicable,8536412
2017,2,Florida,May Employment,8541170,8540489,8539403,8539058,Not applicable,8539058
2017,2,Florida,June Employment,8390550,8390456,8389311,8388710,Not applicable,8388710
2017,2,Florida,Total Quarterly Wages,99855317368,99844827353,99837000813,99832591436,Not applicable,99832591436
2017,2,Georgia,Quarterly Establishments,278119,275625,275576,275594,Not applicable,275594
2017,2,Georgia,April Employment,4334697,4329088,4329265,4329408,Not applicable,4329408
2017,2,Georgia,May Employment,4349662,4343869,4344104,4344257,Not applicable,4344257
2017,2,Georgia,June Employment,4357781,4352267,4352548,4352800,Not applicable,4352800
2017,2,Georgia,Total Quarterly Wages,54055574455,53990345976,53989705867,53993656620,Not applicable,53993656620
2017,2,Hawaii,Quarterly Establishments,41745,41401,41082,40802,Not applicable,40802
2017,2,Hawaii,April Employment,651685,653014,653431,653580,Not applicable,653580
2017,2,Hawaii,May Employment,653607,654911,655325,655483,Not applicable,655483
2017,2,Hawaii,June Employment,652986,654388,654850,655000,Not applicable,655000
2017,2,Hawaii,Total Quarterly Wages,7931186234,7939534294,7942872961,7944197291,Not applicable,7944197291
2017,2,Idaho,Quarterly Establishments,61025,61404,61423,60866,Not applicable,60866
2017,2,Idaho,April Employment,699758,699491,699500,698874,Not applicable,698874
2017,2,Idaho,May Employment,710027,709789,709788,709161,Not applicable,709161
2017,2,Idaho,June Employment,723511,723202,723202,722570,Not applicable,722570
2017,2,Idaho,Total Quarterly Wages,7068844584,7067235931,7067571397,7061186778,Not applicable,7061186778
2017,2,Illinois,Quarterly Establishments,412206,364437,361408,361422,Not applicable,361422
